Reading,Timestamp,,ObjectTemp_C
1,5,,43.18999
2,10064,,43.18999
3,20153,,43.46999
4,30211,,43.27001
5,40269,,43.17001
6,51742,,43.17001
7,61799,,43.49001
8,71856,,43.27001
9,81901,,43.07
10,91951,,43.20998
11,102020,,43.08999
12,112074,,43.42999
13,122129,,43.11001
14,132185,,43.33001
15,142236,,43.33001
16,153093,,43.83001
17,163262,,43.08999
18,173343,,43.46999
19,183438,,43.58999
20,193505,,43.49001
21,203551,,43.20998
22,213961,,43.23
23,224020,,43.23
24,234392,,43.70998
25,245263,,43.18999
26,255414,,43.23
27,266145,,43.41
28,276203,,43.13
29,286253,,43.41
30,296307,,43.39001
31,306359,,42.91
32,316405,,43.41
33,326454,,43.73
34,336506,,43.23
35,346655,,43.42999
36,356742,,43.39001
37,366797,,43.42999
38,376849,,43.58999
39,387212,,43.29
40,397298,,43.70998
41,407346,,43.02999
42,417623,,43.33001
43,427756,,43.52999
44,437846,,43.30999
45,447899,,42.91
46,458180,,43.33001
47,468229,,43.27001
48,478275,,43.58999
49,488335,,43.46999
50,498435,,43.39001
51,508494,,43.36999
52,518547,,43.58999
53,528600,,43.18999
54,539010,,43.27001
55,549406,,43.18999
56,559495,,43.33001
57,569546,,43.18999
58,579599,,43.13
59,589712,,43.49001
60,599971,,43.63
61,610021,,43.33001
62,620673,,43.29
63,630822,,43.77001
64,640907,,43.20998
65,650960,,43.33001
66,661823,,43.30999
67,671872,,43.30999
68,681923,,43.61001
69,691971,,43.63
70,702052,,43.33001
71,712230,,43.61001
72,722277,,43.42999
73,732344,,43.33001
74,742404,,43.67001
75,752778,,43.36999
76,762837,,43.39001
77,772892,,43.57
78,782944,,43.42999
79,793676,,43.42999
80,803738,,43.02999
81,814026,,43.52999
82,824118,,42.70998
83,834179,,43.57
84,844336,,43.18999
85,854394,,43.61001
86,864459,,43.33001
87,874508,,43.36999
88,885029,,43.49001
89,895667,,43.20998
90,905831,,43.33001
91,915877,,43.49001
92,925940,,43.39001
93,936014,,43.58999
94,946344,,43.52999
95,956392,,43.42999
96,966446,,43.52999
97,976498,,43.20998
98,986570,,43.08999
99,996624,,43.39001
100,1006675,,43.33001
101,1016730,,43.61001
102,1027153,,43.58999
103,1037607,,43.17001
104,1047815,,43.17001
105,1057863,,43.46999
106,1067926,,43.29
107,1077973,,43.08999
108,1088245,,43.33001
109,1098294,,43.08999
110,1108345,,43.33001
111,1118391,,43.83001
112,1128450,,43.83001
113,1138500,,43.41
114,1148583,,43.13
115,1158643,,43.51
116,1168701,,43.17001
117,1178756,,43.36999
118,1188805,,43.39001
119,1198853,,43.36999
120,1208902,,43.36999
121,1218969,,43.36999
122,1229261,,43.17001
123,1239354,,43.11001
124,1249533,,43.57
125,1259584,,43.61001
126,1269642,,43.70998
127,1280533,,43.46999
128,1290589,,43.33001
129,1300646,,43.46999
130,1310709,,43.41
131,1320754,,43.79
132,1330812,,43.30999
133,1340869,,43.07
134,1350960,,43.20998
135,1361360,,43.39001
136,1371448,,43.57
137,1381632,,43.29
138,1391690,,43.39001
139,1401736,,43.36999
140,1411788,,43.36999
141,1421842,,43.39001
142,1431903,,43.49001
143,1441964,,43.51
144,1452028,,43.39001
145,1462759,,42.83001
146,1473173,,43.42999
147,1483262,,43.36999
148,1493325,,43.41
149,1503635,,43.02999
150,1513914,,43.18999
151,1524166,,43.36999
152,1534266,,43.20998
153,1544316,,43.41
154,1554384,,43.46999
155,1564469,,43.18999
156,1574518,,43.46999
157,1584867,,43.33001
158,1594923,,43.57
159,1604984,,43.33001
160,1615046,,43.52999
161,1625099,,43.29
162,1635157,,43.20998
163,1645226,,43.49001
164,1655302,,43.51
165,1665357,,43.63
166,1675441,,44.08999
167,1685507,,43.46999
168,1695558,,43.58999
169,1705734,,43.07
170,1715779,,43.01
171,1725827,,43.61001
172,1735890,,43.39001
173,1746865,,43.63
174,1756926,,43.58999
175,1766986,,43.07
176,1777076,,43.46999
177,1787484,,43.36999
178,1797711,,43.77001
179,1807772,,43.29
180,1817974,,43.51
181,1828064,,43.70998
182,1838764,,43.17001
183,1848833,,43.08999
184,1858885,,43.42999
185,1868929,,43.27001
186,1878991,,43.18999
187,1889041,,43.20998
188,1899112,,43.23
189,1909170,,43.11001
190,1919548,,43.33001
191,1929632,,43.42999
192,1939761,,43.13
193,1949812,,43.29
194,1960099,,43.57
195,1970188,,43.42999
196,1980249,,43.57
197,1990501,,43.49001
198,2000611,,43.36999
199,2010795,,43.67001
200,2020856,,43.58999
201,2030921,,43.20998
202,2040979,,43.67001
203,2051044,,43.39001
204,2061102,,43.51
205,2071157,,43.41
206,2081207,,43.17001
207,2091252,,43.27001
208,2101310,,43.39001
209,2111368,,43.39001
210,2121721,,43.39001
211,2131773,,43.42999
212,2141834,,43.46999
213,2151887,,43.39001
214,2161936,,43.20998
215,2171989,,43.33001
216,2182202,,43.36999
217,2192261,,43.30999
218,2202327,,43.20998
219,2212956,,43.41
220,2223012,,43.39001
221,2233071,,43.51
222,2243146,,43.33001
223,2253213,,43.39001
224,2263644,,43.80999
225,2273837,,43.46999
226,2283883,,43.57
227,2293942,,43.57
