Reading,Timestamp,DateTime,ObjectTemp_C,AmbientTemp_C,TempDiff_C,TestType,DeviceID,Notes
1,4,2025-07-10T14:44:26.136186,43.39001,28.39001,14.999999999999996,warmup,ESP32_MLX90614_01,Initial_warmup_period
2,1067,2025-07-10T14:44:27.576365,43.41,28.41,14.999999999999996,warmup,ESP32_MLX90614_01,Initial_warmup_period
3,2510,2025-07-10T14:44:28.806802,43.33001,28.35,14.98001,warmup,ESP32_MLX90614_01,Initial_warmup_period
4,3739,2025-07-10T14:44:29.865904,43.27001,28.42999,14.840019999999999,warmup,ESP32_MLX90614_01,Initial_warmup_period
5,4792,2025-07-10T14:44:31.616668,43.52999,28.45001,15.079979999999999,warmup,ESP32_MLX90614_01,Initial_warmup_period
6,6787,2025-07-10T14:44:33.105561,43.13,28.51,14.620000000000001,warmup,ESP32_MLX90614_01,Initial_warmup_period
7,8037,2025-07-10T14:44:34.335533,43.46999,28.47,14.999990000000004,warmup,ESP32_MLX90614_01,Initial_warmup_period
8,9261,2025-07-10T14:44:35.387058,43.46999,28.45001,15.019980000000004,warmup,ESP32_MLX90614_01,Initial_warmup_period
9,10320,2025-07-10T14:44:36.796209,43.07,28.45001,14.619990000000001,warmup,ESP32_MLX90614_01,Initial_warmup_period
10,11728,2025-07-10T14:44:37.855942,43.39001,28.47,14.920009999999998,warmup,ESP32_MLX90614_01,Initial_warmup_period
11,12781,2025-07-10T14:44:38.955466,43.46999,28.51,14.959990000000001,warmup,ESP32_MLX90614_01,
12,13887,2025-07-10T14:44:40.006023,43.46999,28.51,14.959990000000001,warmup,ESP32_MLX90614_01,
13,14932,2025-07-10T14:44:41.476464,43.41,28.52999,14.880009999999995,warmup,ESP32_MLX90614_01,
14,16408,2025-07-10T14:44:42.546271,43.46999,28.55001,14.919980000000002,warmup,ESP32_MLX90614_01,
15,17472,2025-07-10T14:44:43.656525,43.46999,28.57,14.899990000000003,warmup,ESP32_MLX90614_01,
16,18588,2025-07-10T14:44:45.486601,43.42999,28.55001,14.879979999999996,warmup,ESP32_MLX90614_01,
17,20610,2025-07-10T14:44:46.935765,43.20998,28.58999,14.619990000000001,warmup,ESP32_MLX90614_01,
18,21866,2025-07-10T14:44:47.996404,43.23,28.61001,14.619989999999998,warmup,ESP32_MLX90614_01,
19,22996,2025-07-10T14:44:49.115635,43.42999,28.58999,14.839999999999996,warmup,ESP32_MLX90614_01,
20,24047,2025-07-10T14:44:50.165502,43.52999,28.61001,14.919979999999999,warmup,ESP32_MLX90614_01,
21,25091,2025-07-10T14:44:51.236593,43.49001,28.61001,14.879999999999999,warmup,ESP32_MLX90614_01,
22,26169,2025-07-10T14:44:52.466932,43.30999,28.61001,14.69998,warmup,ESP32_MLX90614_01,
23,27392,2025-07-10T14:44:53.695498,43.30999,28.64999,14.66,warmup,ESP32_MLX90614_01,
24,28627,2025-07-10T14:44:54.918195,43.29,28.61001,14.67999,warmup,ESP32_MLX90614_01,
25,29850,2025-07-10T14:44:55.986327,43.39001,28.67001,14.719999999999995,warmup,ESP32_MLX90614_01,
